epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.4911,0.2148,0.5237,0.1111,0.3492,0.2159,0.1347,0.0834,0.0000,0.0000,0.9998,0.0006,17.6
1,0.5089,0.2148,0.5237,0.1111,0.3492,0.2159,0.1496,0.0794,0.0000,0.0000,0.9996,0.0005,17.5
2,0.5542,0.2148,0.5237,0.1111,0.3492,0.2159,0.1493,0.0819,0.0000,0.0000,0.9950,0.0006,17.6
3,0.5625,0.2148,0.5237,0.1111,0.3492,0.2159,0.1493,0.0828,0.0000,0.0000,0.9978,0.0006,17.7
4,0.5625,0.2148,0.5237,0.1111,0.3492,0.2159,0.1529,0.0858,0.0000,0.0000,0.9974,0.0006,17.7
