epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5464,0.2148,0.5237,0.1111,0.3492,0.2159,0.1512,0.0858,0.0000,0.0000,0.9968,0.0006,17.5
1,0.5601,0.2148,0.5237,0.1111,0.3159,0.2005,0.1474,0.0882,0.2632,0.2632,0.9955,0.0006,17.5
2,0.5607,0.2148,0.5237,0.1111,0.3068,0.1947,0.1415,0.0806,0.5263,0.5263,0.9983,0.0005,17.5
3,0.5655,0.2188,0.5237,0.1111,0.3026,0.1928,0.1423,0.0787,0.7895,0.7895,0.9981,0.0005,17.5
4,0.5679,0.2227,0.5237,0.1111,0.3032,0.1950,0.1391,0.0783,1.0526,1.0526,0.9955,0.0005,17.5
5,0.5685,0.2227,0.5237,0.1111,0.3028,0.1952,0.1304,0.0776,1.3158,1.3158,0.9983,0.0005,17.4
6,0.5708,0.2227,0.5237,0.1111,0.3022,0.1959,0.1283,0.0802,1.5789,1.5789,0.9963,0.0005,17.4
7,0.5667,0.2266,0.5237,0.1111,0.3021,0.1949,0.1262,0.0803,1.8421,1.8421,0.9976,0.0005,17.4
8,0.5744,0.2266,0.5237,0.1111,0.3033,0.1968,0.1251,0.0783,2.1053,2.1053,0.9983,0.0005,17.5
9,0.5696,0.2305,0.5237,0.1111,0.3106,0.2036,0.1235,0.0799,2.3684,2.3684,0.9963,0.0005,17.5
10,0.5738,0.2305,0.5237,0.1111,0.3240,0.2120,0.1224,0.0833,2.6316,2.6316,0.9974,0.0005,17.4
11,0.5702,0.2305,0.5237,0.1111,0.3568,0.2294,0.1213,0.0842,2.8947,2.8947,0.9918,0.0005,17.4
12,0.5756,0.2305,0.5237,0.1111,0.3651,0.2351,0.1205,0.0834,3.1579,3.1579,0.9957,0.0005,17.5
13,0.5798,0.2305,0.5237,0.1111,0.3570,0.2319,0.1224,0.0869,3.4211,3.4211,0.9983,0.0005,17.5
14,0.5530,0.2305,0.5237,0.1111,0.3685,0.2426,0.1230,0.0873,3.6842,3.6842,0.9948,0.0005,17.5
15,0.5780,0.2305,0.5237,0.1111,0.3736,0.2494,0.1226,0.0815,3.9474,3.9474,0.9961,0.0005,17.4
16,0.5786,0.2305,0.5237,0.1111,0.3805,0.2582,0.1213,0.0833,4.2105,4.2105,0.9946,0.0005,17.4
17,0.5738,0.2305,0.5237,0.1111,0.3891,0.2698,0.1222,0.0833,4.4737,4.4737,0.9937,0.0005,17.5
18,0.5786,0.2305,0.5237,0.1111,0.3950,0.2791,0.1180,0.0812,4.7368,4.7368,0.9926,0.0005,17.4
19,0.5601,0.2305,0.5237,0.1111,0.4031,0.2906,0.1189,0.0784,5.0000,5.0000,0.9981,0.0005,17.4
