epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5369,0.2148,0.5237,0.1111,0.3492,0.2159,0.4125,0.1522,0.0000,0.0000,0.9991,0.0005,39.7
1,0.5446,0.2305,0.5237,0.1111,0.3661,0.2339,0.4151,0.1492,0.2632,0.2632,0.9961,0.0005,39.9
2,0.5565,0.2305,0.5237,0.1111,0.4028,0.2888,0.4008,0.1466,0.5263,0.5263,0.9600,0.0004,39.8
3,0.5500,0.2305,0.5237,0.1111,0.4141,0.3219,0.3895,0.1470,0.7895,0.7895,0.9035,0.0004,39.5
4,0.5488,0.2305,0.5237,0.1111,0.4127,0.3241,0.3855,0.1443,1.0526,1.0526,0.8684,0.0004,38.4
5,0.5292,0.2266,0.5237,0.1111,0.4150,0.3267,0.3776,0.1419,1.3158,1.3158,0.8502,0.0003,39.8
6,0.5500,0.2227,0.5237,0.1111,0.4217,0.3291,0.3556,0.1407,1.5789,1.5789,0.8361,0.0003,39.8
7,0.5363,0.2227,0.5237,0.1111,0.4292,0.3297,0.3572,0.1444,1.8421,1.8421,0.8530,0.0003,39.5
8,0.5571,0.2227,0.5237,0.1111,0.4346,0.3301,0.3264,0.1392,2.1053,2.1053,0.8571,0.0003,39.6
9,0.5405,0.2227,0.5237,0.1111,0.4390,0.3303,0.3283,0.1420,2.3684,2.3684,0.8526,0.0004,39.6
10,0.5274,0.2227,0.5237,0.1111,0.4435,0.3305,0.3338,0.1463,2.6316,2.6316,0.8519,0.0004,39.8
11,0.5286,0.2227,0.5237,0.1111,0.4542,0.3316,0.3522,0.1545,2.8947,2.8947,0.8554,0.0005,39.4
12,0.5405,0.2227,0.5237,0.1111,0.4689,0.3338,0.3678,0.1585,3.1579,3.1579,0.8318,0.0005,39.7
13,0.5446,0.2227,0.5237,0.1111,0.4784,0.3350,0.3927,0.1670,3.4211,3.4211,0.8316,0.0006,39.8
14,0.5435,0.2227,0.5237,0.1111,0.4741,0.3338,0.4068,0.1670,3.6842,3.6842,0.8355,0.0007,39.8
15,0.5339,0.2227,0.5237,0.1111,0.4671,0.3320,0.4266,0.1655,3.9474,3.9474,0.8394,0.0008,39.6
16,0.5345,0.2227,0.5237,0.1111,0.4662,0.3319,0.4440,0.1738,4.2105,4.2105,0.8498,0.0008,39.7
17,0.5357,0.2227,0.5237,0.1111,0.4792,0.3324,0.4634,0.1746,4.4737,4.4737,0.8374,0.0008,39.7
18,0.5429,0.2227,0.5237,0.1111,0.5003,0.3350,0.4810,0.1822,4.7368,4.7368,0.8734,0.0009,39.8
19,0.5393,0.2227,0.5237,0.1111,0.5188,0.3384,0.4962,0.1862,5.0000,5.0000,0.8680,0.0010,39.8
