epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5542,0.2148,0.5237,0.1111,0.3492,0.2159,0.1542,0.0856,0.0000,0.0000,0.9974,0.0006,17.4
1,0.5601,0.2148,0.5237,0.1111,0.3165,0.2005,0.1504,0.0806,0.2632,0.2632,0.9987,0.0005,17.3
2,0.5679,0.2188,0.5237,0.1111,0.3056,0.1941,0.1434,0.0825,0.5263,0.5263,0.9929,0.0006,17.5
3,0.5679,0.2227,0.5237,0.1111,0.3024,0.1925,0.1348,0.0782,0.7895,0.7895,0.9970,0.0006,17.3
4,0.5685,0.2227,0.5237,0.1111,0.3016,0.1935,0.1332,0.0785,1.0526,1.0526,0.9963,0.0005,17.5
5,0.5696,0.2227,0.5237,0.1111,0.3023,0.1950,0.1325,0.0776,1.3158,1.3158,0.9959,0.0005,17.5
6,0.5792,0.2227,0.5237,0.1111,0.3015,0.1947,0.1387,0.0834,1.5789,1.5789,0.9985,0.0005,17.5
7,0.5738,0.2266,0.5237,0.1111,0.3002,0.1925,0.1286,0.0794,1.8421,1.8421,0.9981,0.0005,17.4
8,0.5649,0.2305,0.5237,0.1111,0.3020,0.1954,0.1274,0.0803,2.1053,2.1053,0.9987,0.0005,17.5
9,0.5708,0.2305,0.5237,0.1111,0.3074,0.2010,0.1234,0.0790,2.3684,2.3684,0.9976,0.0005,17.5
10,0.5732,0.2305,0.5237,0.1111,0.3194,0.2090,0.1215,0.0818,2.6316,2.6316,0.9970,0.0005,17.4
11,0.5518,0.2305,0.5237,0.1111,0.3499,0.2245,0.1210,0.0828,2.8947,2.8947,0.9952,0.0005,17.5
12,0.5768,0.2305,0.5237,0.1111,0.3642,0.2339,0.1196,0.0790,3.1579,3.1579,0.9942,0.0005,17.6
13,0.5452,0.2305,0.5237,0.1111,0.3568,0.2320,0.1219,0.0845,3.4211,3.4211,0.9959,0.0005,17.5
14,0.5690,0.2305,0.5237,0.1111,0.3659,0.2397,0.1199,0.0809,3.6842,3.6842,0.9963,0.0005,17.6
15,0.5780,0.2305,0.5237,0.1111,0.3750,0.2506,0.1192,0.0806,3.9474,3.9474,0.9970,0.0005,17.6
16,0.5762,0.2305,0.5237,0.1111,0.3787,0.2558,0.1199,0.0791,4.2105,4.2105,0.9983,0.0005,17.5
17,0.5768,0.2305,0.5237,0.1111,0.3871,0.2675,0.1176,0.0791,4.4737,4.4737,0.9974,0.0005,17.6
18,0.5774,0.2305,0.5237,0.1111,0.3938,0.2769,0.1176,0.0789,4.7368,4.7368,0.9985,0.0005,17.6
19,0.5857,0.2305,0.5237,0.1111,0.4006,0.2874,0.1142,0.0719,5.0000,5.0000,0.9983,0.0005,17.6
