epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5125,0.2148,0.5237,0.1111,0.3492,0.2159,0.4538,0.1677,0.0000,0.0000,0.9981,0.0005,39.7
1,0.5321,0.2305,0.5237,0.1111,0.3710,0.2384,0.4553,0.1762,0.2632,0.2632,0.9957,0.0005,39.7
2,0.5554,0.2305,0.5237,0.1111,0.4032,0.2895,0.4405,0.1720,0.5263,0.5263,0.9747,0.0004,39.5
3,0.5500,0.2305,0.5237,0.1111,0.4147,0.3217,0.4285,0.1661,0.7895,0.7895,0.8972,0.0004,39.4
4,0.5476,0.2305,0.5237,0.1111,0.4124,0.3240,0.4140,0.1599,1.0526,1.0526,0.8671,0.0004,39.7
5,0.5619,0.2266,0.5237,0.1111,0.4153,0.3264,0.3855,0.1497,1.3158,1.3158,0.8359,0.0003,39.8
6,0.5500,0.2227,0.5237,0.1111,0.4194,0.3287,0.3782,0.1495,1.5789,1.5789,0.8452,0.0003,39.7
7,0.5601,0.2227,0.5237,0.1111,0.4260,0.3296,0.3599,0.1404,1.8421,1.8421,0.8623,0.0003,39.4
8,0.5607,0.2227,0.5237,0.1111,0.4326,0.3302,0.3629,0.1379,2.1053,2.1053,0.8509,0.0003,39.8
9,0.5661,0.2227,0.5237,0.1111,0.4373,0.3302,0.3689,0.1386,2.3684,2.3684,0.8708,0.0004,39.7
10,0.5589,0.2227,0.5237,0.1111,0.4434,0.3304,0.3800,0.1473,2.6316,2.6316,0.8550,0.0004,39.8
11,0.5464,0.2227,0.5237,0.1111,0.4542,0.3316,0.3804,0.1510,2.8947,2.8947,0.8602,0.0004,39.6
12,0.5518,0.2227,0.5237,0.1111,0.4709,0.3341,0.4012,0.1555,3.1579,3.1579,0.8502,0.0005,39.8
13,0.5357,0.2227,0.5237,0.1111,0.4809,0.3353,0.4037,0.1579,3.4211,3.4211,0.8435,0.0006,39.7
14,0.5256,0.2227,0.5237,0.1111,0.4728,0.3334,0.4149,0.1618,3.6842,3.6842,0.8429,0.0007,39.7
15,0.5363,0.2227,0.5237,0.1111,0.4664,0.3318,0.4197,0.1587,3.9474,3.9474,0.8455,0.0008,39.3
16,0.5268,0.2227,0.5237,0.1111,0.4653,0.3317,0.4429,0.1673,4.2105,4.2105,0.8433,0.0008,39.5
17,0.5339,0.2227,0.5237,0.1111,0.4744,0.3325,0.4676,0.1637,4.4737,4.4737,0.8602,0.0009,39.6
18,0.5310,0.2227,0.5237,0.1111,0.4921,0.3342,0.4824,0.1769,4.7368,4.7368,0.8578,0.0009,39.7
19,0.5101,0.2227,0.5237,0.1111,0.5117,0.3372,0.4937,0.1780,5.0000,5.0000,0.8667,0.0011,39.6
