epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5625,0.2148,0.5237,0.1111,0.3492,0.2159,0.1447,0.0824,0.0000,0.0000,0.9968,0.0005,17.7
1,0.5613,0.2148,0.5237,0.1111,0.3169,0.2001,0.1494,0.0839,0.2632,0.2632,0.9978,0.0006,17.5
2,0.5536,0.2188,0.5237,0.1111,0.3076,0.1952,0.1454,0.0823,0.5263,0.5263,0.9994,0.0005,17.5
3,0.5571,0.2227,0.5237,0.1111,0.3059,0.1954,0.1429,0.0858,0.7895,0.7895,0.9981,0.0006,17.7
4,0.5738,0.2227,0.5237,0.1111,0.3029,0.1943,0.1362,0.0797,1.0526,1.0526,0.9987,0.0005,17.6
5,0.5673,0.2227,0.5237,0.1111,0.3035,0.1960,0.1336,0.0815,1.3158,1.3158,0.9970,0.0005,17.6
6,0.5452,0.2266,0.5237,0.1111,0.3010,0.1934,0.1342,0.0862,1.5789,1.5789,0.9935,0.0005,17.5
7,0.5679,0.2266,0.5237,0.1111,0.3021,0.1951,0.1317,0.0812,1.8421,1.8421,0.9955,0.0005,17.6
8,0.5667,0.2305,0.5237,0.1111,0.3040,0.1990,0.1299,0.0817,2.1053,2.1053,0.9998,0.0005,17.7
9,0.5726,0.2305,0.5237,0.1111,0.3107,0.2039,0.1286,0.0821,2.3684,2.3684,0.9974,0.0005,17.6
10,0.5720,0.2305,0.5237,0.1111,0.3300,0.2164,0.1246,0.0820,2.6316,2.6316,0.9983,0.0005,17.5
11,0.5750,0.2305,0.5237,0.1111,0.3598,0.2301,0.1226,0.0797,2.8947,2.8947,0.9972,0.0005,17.6
12,0.5744,0.2305,0.5237,0.1111,0.3602,0.2322,0.1198,0.0774,3.1579,3.1579,0.9965,0.0005,17.6
13,0.5804,0.2305,0.5237,0.1111,0.3522,0.2302,0.1182,0.0805,3.4211,3.4211,0.9963,0.0005,17.7
14,0.5488,0.2305,0.5237,0.1111,0.3698,0.2438,0.1163,0.0816,3.6842,3.6842,0.9968,0.0005,17.6
15,0.5768,0.2305,0.5237,0.1111,0.3757,0.2514,0.1179,0.0789,3.9474,3.9474,0.9926,0.0005,17.5
16,0.5750,0.2305,0.5237,0.1111,0.3797,0.2575,0.1171,0.0804,4.2105,4.2105,0.9942,0.0005,17.5
17,0.5673,0.2305,0.5237,0.1111,0.3882,0.2688,0.1176,0.0834,4.4737,4.4737,0.9976,0.0005,17.5
18,0.5815,0.2305,0.5237,0.1111,0.3937,0.2775,0.1174,0.0793,4.7368,4.7368,0.9991,0.0005,17.6
19,0.5673,0.2305,0.5237,0.1111,0.4012,0.2879,0.1165,0.0753,5.0000,5.0000,0.9981,0.0005,17.6
