epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5607,0.2148,0.5237,0.1111,0.3492,0.2159,0.1482,0.0824,0.0000,0.0000,0.9976,0.0005,17.7
1,0.5637,0.2148,0.5237,0.1111,0.3172,0.2011,0.1486,0.0820,0.2632,0.2632,0.9981,0.0005,17.5
2,0.5649,0.2188,0.5237,0.1111,0.3056,0.1941,0.1437,0.0823,0.5263,0.5263,0.9981,0.0006,17.4
3,0.5637,0.2227,0.5237,0.1111,0.3032,0.1930,0.1388,0.0794,0.7895,0.7895,0.9985,0.0005,17.6
4,0.5714,0.2227,0.5237,0.1111,0.3011,0.1928,0.1402,0.0802,1.0526,1.0526,0.9963,0.0006,17.6
5,0.5524,0.2227,0.5237,0.1111,0.3016,0.1937,0.1349,0.0792,1.3158,1.3158,0.9991,0.0006,17.5
6,0.5726,0.2266,0.5237,0.1111,0.3024,0.1952,0.1247,0.0764,1.5789,1.5789,0.9998,0.0005,17.5
7,0.5637,0.2266,0.5237,0.1111,0.3010,0.1930,0.1243,0.0778,1.8421,1.8421,0.9987,0.0005,17.5
8,0.5720,0.2305,0.5237,0.1111,0.3031,0.1963,0.1244,0.0819,2.1053,2.1053,0.9983,0.0005,17.4
9,0.5702,0.2305,0.5237,0.1111,0.3093,0.2018,0.1205,0.0790,2.3684,2.3684,0.9989,0.0005,17.5
10,0.5518,0.2305,0.5237,0.1111,0.3220,0.2106,0.1202,0.0799,2.6316,2.6316,0.9961,0.0005,17.5
11,0.5542,0.2305,0.5237,0.1111,0.3571,0.2278,0.1180,0.0808,2.8947,2.8947,0.9974,0.0005,17.5
12,0.5726,0.2305,0.5237,0.1111,0.3653,0.2355,0.1166,0.0796,3.1579,3.1579,0.9972,0.0005,17.6
13,0.5726,0.2305,0.5237,0.1111,0.3562,0.2323,0.1194,0.0865,3.4211,3.4211,0.9944,0.0005,17.4
14,0.5655,0.2305,0.5237,0.1111,0.3706,0.2441,0.1166,0.0841,3.6842,3.6842,0.9955,0.0005,17.6
15,0.5667,0.2305,0.5237,0.1111,0.3748,0.2496,0.1156,0.0795,3.9474,3.9474,0.9961,0.0005,17.4
16,0.5804,0.2305,0.5237,0.1111,0.3794,0.2564,0.1142,0.0791,4.2105,4.2105,0.9981,0.0005,17.4
17,0.5726,0.2305,0.5237,0.1111,0.3881,0.2685,0.1153,0.0784,4.4737,4.4737,0.9981,0.0005,17.6
18,0.5750,0.2305,0.5237,0.1111,0.3949,0.2783,0.1142,0.0790,4.7368,4.7368,0.9957,0.0005,17.4
19,0.5780,0.2305,0.5237,0.1111,0.4009,0.2879,0.1131,0.0776,5.0000,5.0000,0.9978,0.0005,17.5
