epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5089,0.2148,0.5237,0.1111,0.3492,0.2159,0.4493,0.1707,0.0000,0.0000,0.9991,0.0005,39.9
1,0.5232,0.2305,0.5237,0.1111,0.3641,0.2324,0.4390,0.1612,0.2632,0.2632,0.9952,0.0005,39.8
2,0.5512,0.2305,0.5237,0.1111,0.4020,0.2878,0.4241,0.1613,0.5263,0.5263,0.9693,0.0004,40.0
3,0.5345,0.2305,0.5237,0.1111,0.4150,0.3218,0.4076,0.1577,0.7895,0.7895,0.9084,0.0004,40.0
4,0.5470,0.2305,0.5237,0.1111,0.4139,0.3243,0.4043,0.1548,1.0526,1.0526,0.8634,0.0004,39.4
5,0.5530,0.2266,0.5237,0.1111,0.4180,0.3266,0.3819,0.1498,1.3158,1.3158,0.8361,0.0003,38.8
6,0.5310,0.2227,0.5237,0.1111,0.4214,0.3288,0.3554,0.1379,1.5789,1.5789,0.8561,0.0003,39.8
7,0.5554,0.2227,0.5237,0.1111,0.4277,0.3297,0.3333,0.1344,1.8421,1.8421,0.8719,0.0003,39.7
8,0.5488,0.2227,0.5237,0.1111,0.4334,0.3301,0.3196,0.1339,2.1053,2.1053,0.9071,0.0003,39.9
9,0.5554,0.2227,0.5237,0.1111,0.4365,0.3301,0.3279,0.1371,2.3684,2.3684,0.8918,0.0004,39.6
10,0.5530,0.2227,0.5237,0.1111,0.4394,0.3300,0.3393,0.1436,2.6316,2.6316,0.8784,0.0004,40.0
11,0.5452,0.2227,0.5237,0.1111,0.4514,0.3311,0.3339,0.1421,2.8947,2.8947,0.9006,0.0004,39.8
12,0.5452,0.2227,0.5237,0.1111,0.4693,0.3335,0.3642,0.1471,3.1579,3.1579,0.8645,0.0005,39.9
13,0.5363,0.2227,0.5237,0.1111,0.4791,0.3350,0.3901,0.1560,3.4211,3.4211,0.8500,0.0006,39.7
14,0.5101,0.2227,0.5237,0.1111,0.4756,0.3341,0.4064,0.1628,3.6842,3.6842,0.8353,0.0007,39.8
15,0.5452,0.2227,0.5237,0.1111,0.4696,0.3324,0.4175,0.1554,3.9474,3.9474,0.8344,0.0008,39.8
16,0.5387,0.2227,0.5237,0.1111,0.4698,0.3321,0.4292,0.1675,4.2105,4.2105,0.8474,0.0008,39.7
17,0.5435,0.2227,0.5237,0.1111,0.4799,0.3327,0.4644,0.1751,4.4737,4.4737,0.8524,0.0009,39.5
18,0.5208,0.2227,0.5237,0.1111,0.4972,0.3347,0.4898,0.1782,4.7368,4.7368,0.8381,0.0009,40.1
19,0.5208,0.2227,0.5237,0.1111,0.5160,0.3379,0.5179,0.1825,5.0000,5.0000,0.8439,0.0011,39.9
